item_name,categories
Wireless Mouse,Electronics > Computer Accessories
Bluetooth Speaker,Electronics > Audio
Ergonomic Chair,Home & Garden > Furniture
LED Desk Lamp,Home & Garden > Lighting
4K Webcam,Electronics > Computer Accessories
Laptop Stand,Electronics > Office Equipment
Smartphone Tripod,Electronics > Photography
Noise Cancelling Headphones,Electronics > Audio
Kitchen Blender,Home & Garden > Appliances
Stainless Steel Water Bottle,Home & Garden > Kitchen
Wireless Charger,Electronics > Mobile Accessories
Graphic Tablet,Electronics > Design Tools
Gaming Keyboard,Electronics > Gaming Gear
Fitness Tracker,Health & Beauty > Wearables
USB Hub,Electronics > Computer Accessories
Online Tutoring Session,Services > Education
Resume Review Service,Services > Career
Home Cleaning,Services > Housekeeping
Pet Walking,Services > Pets
Tech Support,Services > IT
Digital Marketing Audit,Services > Business
Yoga Instruction,Services > Wellness
Photography Session,Services > Photography
Virtual Assistant Hour,Services > Admin Support
Language Coaching,Services > Education
Logo Design,Services > Design
Social Media Strategy,Services > Marketing
Plumbing Consultation,Services > Home Maintenance
Web Development Hour,Services > Development
Interior Design Session,Services > Home Decor
